Reference, Quantity, Value, digikey#, manf#
C1 C2 C3 C6 C12 C14 C17 C19 C20 ,9,100nF,587-3354-1-ND,GMK107B7104KAHT
C10 C11 C15 C16 ,4,220nF,490-14410-1-ND,GCJ188R71H224KA01D
C13 C18 ,2,1nF,490-14360-1-ND,GCM188R91H102KA37D
C7 C8 ,2,10uF,587-4893-1-ND,GMK212BBJ106KG-T
C9 ,1,1000uF/35V,1189-1745-ND,35PX1000MEFC10X20
D1 ,1,10V,SZMMSZ5240BT1GOSCT-ND,SZMMSZ5240BT1G
D2 ,1,Green led 0603,160-1446-1-ND,LTST-C191KGKT
D3 ,1,Yellow led 0603,160-1448-1-ND,LTST-C191KSKT
D4 ,1,Blue led 0603,160-1837-1-ND,LTST-C194TBKT
J1 ,1,Conn_01x02,277-1128-ND,1758018
J2 ,1,Conn_01x04,609-4277-ND,OQ0453500000G
J3 ,1,Conn_01x04,WM4202-ND,22232041
J4 ,1,Conn_01x07,WM4305-ND,22053071
JP2 ,1,EN_Option,732-5316-ND,61300311121
Q1 ,1,IPD90P03P4L04,IPD90P03P4L04ATMA1CT-ND,IPD90P03P4L04ATMA1
Q2 Q3 ,2,BTN8982TA,BTN8982TAAUMA1INCT-ND,BTN8982TAAUMA1
R1 R2 R3 R9 R10 ,5,4k7,311-4.7KGRCT-ND,RC0603JR-074K7L
R17 R18 ,2,1k,311-1.00KHRCT-ND,RC0603FR-071KL
R19 R20 ,2,470R,311-470HRCT-ND,RC0603FR-07470RL
R4 R11 R12 ,3,3k3,311-3.3KGRCT-ND,RC0603JR-073K3L
R6 ,1,10mR,CRA2512-FZ-R010ELFCT-ND,CRA2512-FZ-R010ELF
R7 R13 R14 R15 R16 ,5,10k,311-10.0KHRCT-ND,RC0603FR-0710KL
R5 R8 ,2,10R,311-10.0HRCT-ND,RC0603FR-0710RL
U1 ,1,L7805,497-7255-1-ND,L7805CDT-TR
U2 ,1,INA226,296-29100-1-ND,INA226AIDGST
U3 ,1,74AHC244,SN74AHC244QPWRQ1CT-ND,SN74AHC244QPWRQ1
